symbol,entry_date,entry_price,entry_sl,entry_target,current_sl,current_target,setup_type,status,close_date,close_price,updated_at,current_price,current_return
CUMMINSIND.NS,2026-05-08,5401.0,5085.51,5644.044999999999,5085.51,5644.044999999999,macd_crossover,CLOSED,2026-05-27,6027.5,2026-07-08T21:22:53.607407,6027.5,+11.60%
ETERNAL.NS,2026-07-01,279.7,264.32,292.2865,274.46,302.42299999999994,momentum_breakout,OPEN,,,2026-07-08T21:35:23.207051,286.95001220703125,+2.59%
BAJAJHLDNG.NS,2026-07-01,10719.0,9996.64,11201.355,9898.19,11235.84,pullback_sma50,OPEN,,,2026-07-13T12:44:34.353414,10299.0,-3.92%
CHOLAFIN.NS,2026-07-02,1788.5,1702.82,1868.9824999999998,1762.25,1933.7724999999998,momentum,OPEN,,,2026-07-08T21:34:56.483545,1782.800048828125,-0.32%
CGPOWER.NS,2026-05-07,859.1,792.73,897.7595,878.72,976.8659999999999,macd_crossover,CLOSED,2026-05-27,934.7999877929688,2026-07-08T21:22:53.600726,934.7999877929688,+8.81%
HINDZINC.NS,2026-05-06,634.6,595.99,663.1569999999999,605.28,670.7855,momentum_breakout,CLOSED,2026-05-26,647.4000244140625,2026-07-08T21:22:25.795353,647.4000244140625,+2.02%
SBILIFE.NS,2026-07-07,1832.3,1761.11,1914.7534999999998,1761.11,1914.7534999999998,momentum_breakout,OPEN,,,2026-07-08T21:35:23.209397,1824.5,-0.43%
BAJAJ-AUTO.NS,2026-07-13,10381.0,9936.47,10848.144999999999,9936.47,10848.144999999999,momentum_breakout,OPEN,,,2026-07-13T12:44:34.358097,10522.5,+1.36%
TVSMOTOR.NS,2026-07-13,3676.9,3496.87,3842.3605,3496.87,3842.3605,momentum,OPEN,,,2026-07-13T12:44:34.363509,3590.199951171875,-2.36%
HYUNDAI.NS,2026-07-15,2002.9,1898.03,2093.0305,1898.03,2093.0305,momentum_breakout,OPEN,,,2026-07-15T11:56:46.392545,1972.300048828125,-1.53%
PNB.NS,2026-07-20,111.76,106.9,116.7892,106.9,116.7892,momentum_breakout,OPEN,,,2026-07-20T12:31:07.751705,111.76000213623047,+0.00%
UNIONBANK.NS,2026-07-20,175.93,165.53,183.84685,165.53,183.84685,momentum,OPEN,,,2026-07-20T12:31:07.758969,175.92999267578125,-0.00%
BPCL.NS,2026-07-20,317.6,298.07,331.892,298.07,331.892,macd_crossover,OPEN,,,2026-07-20T12:31:07.762721,317.6000061035156,+0.00%
