symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50
RELIANCE.NS,2023-09-20,2,momentum,1176.88,35.1,25.34938936844521,1149.0,1232.65,Volume spike (>1.5x avg); ADX greater than 25,stop_loss_hit,1149.0,2023-09-28,6,-2.37,False,False,False,True,False,True,False,False
INFY.NS,2023-09-21,3,momentum,1366.24,67.0,30.28025900002614,1339.23,1420.27,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25,stop_loss_hit,1339.23,2023-09-25,2,-1.98,True,False,False,False,True,True,False,False
RELIANCE.NS,2023-09-21,1,momentum,1168.31,32.7,27.028176719074736,1140.83,1223.27,ADX greater than 25,stop_loss_hit,1140.83,2023-10-04,8,-2.35,False,False,False,False,False,True,False,False
INFY.NS,2023-09-22,3,momentum,1361.15,64.3,30.117258133969,1333.95,1415.55,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1333.95,2023-09-26,2,-2.0,True,True,False,False,False,True,False,False
RELIANCE.NS,2023-09-22,1,momentum,1163.44,31.4,28.77323038795331,1136.21,1217.91,ADX greater than 25,stop_loss_hit,1136.21,2023-10-04,7,-2.34,False,False,False,False,False,True,False,False
INFY.NS,2023-09-25,3,momentum,1341.13,55.0,29.00492797869495,1313.48,1396.44,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1313.48,2023-09-28,3,-2.06,True,True,False,False,False,True,False,False
RELIANCE.NS,2023-09-25,1,momentum,1156.28,29.5,30.626597557431857,1129.63,1209.58,ADX greater than 25,timeout,1163.5928955078125,2023-10-17,15,0.63,False,False,False,False,False,True,False,False
INFY.NS,2023-09-26,3,momentum,1328.85,50.2,27.192877175025917,1301.13,1384.3,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1301.13,2023-09-29,3,-2.09,True,True,False,False,False,True,False,False
RELIANCE.NS,2023-09-26,2,momentum,1157.29,30.1,32.33413557138761,1131.78,1208.32,RSI bounced off oversold; ADX greater than 25,timeout,1148.1541748046875,2023-10-18,15,-0.79,False,True,False,False,False,True,False,False
INFY.NS,2023-09-27,3,momentum,1334.63,52.3,25.503298419079037,1306.98,1389.93,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25,stop_loss_hit,1306.98,2023-09-28,1,-2.07,True,True,False,False,False,True,False,False
RELIANCE.NS,2023-09-27,2,momentum,1170.34,37.9,32.79495398194374,1144.88,1221.25,RSI bounced off oversold; ADX greater than 25,stop_loss_hit,1144.88,2023-10-03,3,-2.18,False,True,False,False,False,True,False,False
INFY.NS,2023-09-28,1,momentum,1309.56,43.7,24.680994706392163,1280.23,1368.23,Uptrend (above rising SMA50),target_hit,1368.23,2023-10-11,8,4.48,True,False,False,False,False,False,False,False
RELIANCE.NS,2023-09-28,2,momentum,1153.14,32.7,33.483918622218276,1126.44,1206.55,RSI bounced off oversold; ADX greater than 25,timeout,1135.8525390625,2023-10-20,15,-1.5,False,True,False,False,False,True,False,False
INFY.NS,2023-09-29,1,momentum,1305.93,42.6,24.715763716449512,1275.68,1366.42,Uptrend (above rising SMA50),target_hit,1366.42,2023-10-11,7,4.63,True,False,False,False,False,False,False,False
RELIANCE.NS,2023-09-29,1,momentum,1158.53,35.7,34.12894436765216,1131.88,1211.83,ADX greater than 25,stop_loss_hit,1131.88,2023-10-23,15,-2.3,False,False,False,False,False,True,False,False
RELIANCE.NS,2023-10-03,1,momentum,1145.26,32.0,35.12189799890621,1118.98,1197.83,ADX greater than 25,stop_loss_hit,1118.98,2023-10-23,14,-2.29,False,False,False,False,False,True,False,False
INFY.NS,2023-10-04,2,momentum,1314.02,46.2,23.935114534679304,1283.34,1375.39,Uptrend (above rising SMA50); RSI in healthy zone,target_hit,1375.39,2023-10-11,5,4.67,True,True,False,False,False,False,False,False
RELIANCE.NS,2023-10-04,1,momentum,1143.29,31.4,36.436904926057636,1117.62,1194.62,ADX greater than 25,stop_loss_hit,1117.62,2023-10-23,13,-2.25,False,False,False,False,False,True,False,False
INFY.NS,2023-10-05,2,momentum,1331.4,52.7,22.596011079084864,1299.86,1394.48,Uptrend (above rising SMA50); RSI in healthy zone,stop_loss_hit,1299.86,2023-10-13,6,-2.37,True,True,False,False,False,False,False,False
