symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback
CHOLAFIN.NS,2026-01-02,7,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1779.77,63.0,1665.58,1951.05,stop_loss_hit,1665.58,2026-01-20,12,-6.42,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False
CIPLA.NS,2026-01-02,5,RSI in healthy zone; MACD bullish crossover; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure),1497.55,51.1,1448.74,1570.77,stop_loss_hit,1448.74,2026-01-07,3,-3.26,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False
COALINDIA.NS,2026-01-02,9,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Momentum Breakout (VCP + volume spike); Open-Low Same (conviction buy); Weekly trend aligned (above Weekly EMA20); Outperforming index,422.32,82.9,407.31,444.83,stop_loss_hit,407.31,2026-01-21,13,-3.55,True,False,False,True,True,True,False,False,True,False,False,False,True,True,False
CUMMINSIND.NS,2026-01-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),4461.81,54.2,4272.16,4746.29,stop_loss_hit,4272.16,2026-01-05,1,-4.25,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
DIVISLAB.NS,2026-01-02,4,RSI in healthy zone; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),6392.5,48.2,6145.84,6762.49,stop_loss_hit,6145.84,2026-01-19,11,-3.86,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False
DLF.NS,2026-01-02,4,RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25; Open-Low Same (conviction buy),698.2,47.6,672.54,736.69,stop_loss_hit,672.54,2026-01-09,5,-3.68,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False
DRREDDY.NS,2026-01-02,3,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure),1256.1,45.3,1218.62,1312.32,stop_loss_hit,1218.62,2026-01-08,4,-2.98,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
EICHERMOT.NS,2026-01-02,7,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,7334.5,59.6,7024.76,7799.11,stop_loss_hit,7024.76,2026-01-21,13,-4.22,True,True,True,False,True,False,False,False,False,False,False,True,True,True,False
ETERNAL.NS,2026-01-02,4,MACD bullish crossover; ADX greater than 25; Open-Low Same (conviction buy); Volume contracting (low selling pressure),284.15,43.0,267.88,308.55,stop_loss_hit,267.88,2026-01-20,12,-5.73,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
GAIL.NS,2026-01-02,6,RSI in healthy zone; Volume spike (>1.5x avg); Near 20-day high; Momentum Breakout (VCP + volume spike); Open-Low Same (conviction buy),170.08,57.4,164.59,178.31,stop_loss_hit,164.59,2026-01-06,2,-3.23,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False
GODREJCP.NS,2026-01-02,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,1223.77,72.9,1180.14,1289.22,timeout,1228.923095703125,2026-01-23,15,0.42,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False
GRASIM.NS,2026-01-02,3,RSI in healthy zone; Near 20-day high; Weekly trend aligned (above Weekly EMA20),2856.4,63.5,2774.12,2979.82,stop_loss_hit,2774.12,2026-01-09,5,-2.88,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
HCLTECH.NS,2026-01-02,4,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1597.81,50.5,1546.23,1675.19,stop_loss_hit,1546.23,2026-01-05,1,-3.23,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
HDFCBANK.NS,2026-01-02,5,RSI in healthy zone; MACD bullish crossover; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),985.3,56.7,956.6,1028.36,stop_loss_hit,956.6,2026-01-06,2,-2.91,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False
HDFCLIFE.NS,2026-01-02,3,RSI in healthy zone; Open-Low Same (conviction buy); Volume contracting (low selling pressure),752.17,47.7,727.82,788.69,stop_loss_hit,727.82,2026-01-16,10,-3.24,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
HINDALCO.NS,2026-01-02,8,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,925.7,78.7,889.66,979.76,timeout,950.2999877929688,2026-01-23,15,2.66,True,False,False,False,True,True,False,False,True,True,False,True,True,True,False
HINDUNILVR.NS,2026-01-02,4,RSI in healthy zone; ADX greater than 25; Open-Low Same (conviction buy); Volume contracting (low selling pressure),2348.0,53.1,2283.74,2444.39,timeout,2409.5,2026-01-23,15,2.62,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
HINDZINC.NS,2026-01-02,7,Uptrend (above rising SMA50); ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,617.52,72.6,582.36,670.25,stop_loss_hit,582.36,2026-01-08,4,-5.69,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False
ICICIBANK.NS,2026-01-02,3,RSI in healthy zone; Open-Low Same (conviction buy); Volume contracting (low selling pressure),1355.4,47.4,1325.27,1400.6,target_hit,1400.6,2026-01-06,2,3.33,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
INDHOTEL.NS,2026-01-02,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),748.65,58.6,723.08,787.01,stop_loss_hit,723.08,2026-01-06,2,-3.42,True,True,False,False,True,False,False,False,True,False,False,True,True,False,False
INFY.NS,2026-01-02,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),1605.65,58.5,1553.84,1683.38,stop_loss_hit,1553.84,2026-01-05,1,-3.23,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False
IOC.NS,2026-01-02,6,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high; Weekly trend aligned (above Weekly EMA20); Outperforming index,164.71,63.5,157.09,176.15,stop_loss_hit,157.09,2026-01-08,4,-4.63,True,True,True,False,True,False,False,False,False,False,False,False,True,True,False
IRFC.NS,2026-01-02,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,127.13,64.0,119.65,138.35,stop_loss_hit,119.65,2026-01-09,5,-5.88,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False
