symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support
INFY.NS,2025-03-11,2,momentum,1579.66,30.7,39.16762663118849,1519.49,1699.99,Volume spike (>1.5x avg); ADX greater than 25,stop_loss_hit,1519.49,2025-03-12,1,-3.81,False,False,False,True,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-11,4,momentum,1236.62,56.1,23.26430426860117,1199.22,1311.42,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Near 20-day high,timeout,1238.0086669921875,2025-04-03,15,0.11,True,True,True,False,True,False,False,False,False,False,False
TCS.NS,2025-03-11,2,momentum,3409.64,30.8,43.44698461510786,3308.63,3611.65,MACD bullish crossover; ADX greater than 25,stop_loss_hit,3308.63,2025-03-19,5,-2.96,False,False,True,False,False,True,False,False,False,False,False
INFY.NS,2025-03-12,2,momentum,1512.4,24.8,40.7561220531242,1446.56,1644.07,Volume spike (>1.5x avg); ADX greater than 25,stop_loss_hit,1446.56,2025-04-01,12,-4.35,False,False,False,True,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-12,3,momentum,1246.29,58.4,22.67062355350269,1209.54,1319.78,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high,stop_loss_hit,1209.54,2025-04-04,15,-2.95,True,True,False,False,True,False,False,False,False,False,False
TCS.NS,2025-03-12,2,momentum,3343.74,26.8,44.13496352667088,3240.91,3549.4,MACD bullish crossover; ADX greater than 25,stop_loss_hit,3240.91,2025-04-03,14,-3.08,False,False,True,False,False,True,False,False,False,False,False
INFY.NS,2025-03-13,1,momentum,1501.94,24.0,42.231871612263056,1437.16,1631.49,ADX greater than 25,stop_loss_hit,1437.16,2025-04-03,13,-4.31,False,False,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-03-13,3,momentum,1237.22,55.5,22.168575223811903,1200.94,1309.77,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high,stop_loss_hit,1200.94,2025-04-04,14,-2.93,True,True,False,False,True,False,False,False,False,False,False
TCS.NS,2025-03-13,2,momentum,3348.36,27.5,44.78651442250014,3248.77,3547.55,MACD bullish crossover; ADX greater than 25,stop_loss_hit,3248.77,2025-04-03,13,-2.97,False,False,True,False,False,True,False,False,False,False,False
INFY.NS,2025-03-17,2,momentum,1511.64,26.3,43.835104250068376,1446.51,1641.89,ADX greater than 25; Open-Low Same (conviction buy),stop_loss_hit,1446.51,2025-04-01,10,-4.31,False,False,False,False,False,True,False,False,True,False,False
