symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index,pointer_rsi2_pullback,pointer_stoch_pullback,pointer_bb_pullback,pointer_inside_bar_breakout,pointer_nr7_breakout,pointer_ema21_pullback,pointer_hammer_at_support
TATASTEEL.NS,2026-03-02,7,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,206.75,61.2,195.62,216.05374999999998,stop_loss_hit,195.62,2026-03-04,1,-5.38,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False
TITAN.NS,2026-03-02,6,Uptrend (above rising SMA50); RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,4270.3,56.8,4109.35,4462.4635,stop_loss_hit,4109.35,2026-03-04,1,-3.77,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False
TMPV.NS,2026-03-02,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Outperforming index; Bollinger Band lower support pullback,367.55,47.7,345.19,384.08975,stop_loss_hit,345.19,2026-03-05,2,-6.08,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
TORNTPHARM.NS,2026-03-02,7,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,4360.53,68.9,4153.31,4556.753849999999,stop_loss_hit,4153.31,2026-03-24,15,-4.75,True,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False
TVSMOTOR.NS,2026-03-02,5,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); Weekly trend aligned (above Weekly EMA20); Outperforming index,3799.82,51.0,3612.9,3970.8118999999997,stop_loss_hit,3612.9,2026-03-09,4,-4.92,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
UNIONBANK.NS,2026-03-02,5,Uptrend (above rising SMA50); ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,198.13,66.1,186.33,207.04584999999997,stop_loss_hit,186.33,2026-03-09,4,-5.96,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False
VEDL.NS,2026-03-02,7,Uptrend (above rising SMA50); RSI in healthy zone; MACD bullish crossover; Open-Low Same (conviction buy); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,711.47,60.5,652.91,743.48615,stop_loss_hit,652.91,2026-03-19,12,-8.23,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False
ABB.NS,2026-03-04,7,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index; EMA 21 support pullback,5806.75,53.5,5445.78,6068.05375,target_hit,6068.05375,2026-03-06,2,4.5,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False
APOLLOHOSP.NS,2026-03-04,5,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,7666.0,62.0,7373.51,8010.969999999999,stop_loss_hit,7373.51,2026-03-19,11,-3.82,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
AXISBANK.NS,2026-03-04,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,1351.3,49.9,1294.63,1412.1084999999998,stop_loss_hit,1294.63,2026-03-09,3,-4.19,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
BAJAJ-AUTO.NS,2026-03-04,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,9518.54,47.1,9085.21,9946.8743,stop_loss_hit,9085.21,2026-03-12,6,-4.55,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
BANKBARODA.NS,2026-03-04,4,RSI in healthy zone; Volume spike (>1.5x avg); Weekly trend aligned (above Weekly EMA20); Outperforming index,289.92,46.3,273.76,302.9664,stop_loss_hit,273.76,2026-03-09,3,-5.57,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
BEL.NS,2026-03-04,5,Uptrend (above rising SMA50); RSI in healthy zone; Volume spike (>1.5x avg); Weekly trend aligned (above Weekly EMA20); Outperforming index,444.96,56.3,422.02,464.98319999999995,target_hit,464.98319999999995,2026-03-05,1,4.5,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
CGPOWER.NS,2026-03-04,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,684.9,51.4,641.82,715.7204999999999,target_hit,715.7204999999999,2026-03-06,2,4.5,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
