symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index
CUMMINSIND.NS,2026-04-22,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,5211.8,64.6,4884.16,5703.26,timeout,5212.0,2026-05-13,15,0.0,True,True,False,False,True,False,False,False,False,False,False,True,True,True
DIVISLAB.NS,2026-04-22,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,6285.5,60.2,6003.69,6708.22,target_hit,6708.22,2026-05-06,9,6.73,True,True,False,False,True,False,False,False,False,False,False,True,True,True
DLF.NS,2026-04-22,3,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure),610.65,63.6,572.68,667.61,stop_loss_hit,572.68,2026-05-12,14,-6.22,False,True,False,False,True,False,False,False,False,False,False,True,False,False
DMART.NS,2026-04-22,7,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,4594.8,69.3,4330.31,4991.53,stop_loss_hit,4330.31,2026-05-05,9,-5.76,True,False,False,False,True,True,False,False,False,True,False,True,True,True
DRREDDY.NS,2026-04-22,3,MACD bullish crossover; ADX greater than 25; Volume contracting (low selling pressure),1217.0,43.2,1140.47,1331.8,target_hit,1331.8,2026-04-23,1,9.43,False,False,True,False,False,True,False,False,False,False,False,True,False,False
EICHERMOT.NS,2026-04-22,4,RSI in healthy zone; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,7230.0,53.2,6805.8,7866.3,timeout,6971.5,2026-05-13,15,-3.58,False,True,False,False,False,False,False,False,False,False,False,True,True,True
ENRIN.NS,2026-04-22,6,Uptrend (above rising SMA50); Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,3188.2,72.4,2968.87,3517.19,timeout,3112.60009765625,2026-05-13,15,-2.37,True,False,False,False,True,True,False,False,False,True,False,False,True,True
ETERNAL.NS,2026-04-22,3,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure),262.99,63.6,244.93,290.08,stop_loss_hit,244.93,2026-04-30,6,-6.87,False,True,False,False,True,False,False,False,False,False,False,True,False,False
GAIL.NS,2026-04-22,7,Uptrend (above rising SMA50); Near 20-day high; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,166.12,69.7,156.77,180.14,timeout,163.30999755859375,2026-05-13,15,-1.69,True,False,False,False,True,False,False,False,True,True,False,True,True,True
GODREJCP.NS,2026-04-22,5,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1133.91,62.8,1070.85,1228.51,stop_loss_hit,1070.85,2026-04-30,6,-5.56,False,True,False,False,True,False,False,False,False,False,False,True,True,True
GRASIM.NS,2026-04-22,6,RSI in healthy zone; Near 20-day high; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,2776.6,57.5,2636.89,2986.17,target_hit,2986.17,2026-05-11,13,7.55,False,True,False,False,True,False,False,False,False,False,True,True,True,True
