date,symbol,entry_price,target_1_5,sl_1_5,rsi,vol_ratio,status,next_open,next_open_return,exit_price_b,exit_return_b,outcome_b,created_at
2026-05-18,SOLARINDS.NS,18019.0,18289.28,17748.72,77.6,4.63,CLOSED,18100.0,+0.45%,18289.28,+1.50%,WIN,2026-07-22T00:50:50.270108
2026-06-30,SOLARINDS.NS,18696.0,18976.44,18415.56,61.8,2.12,CLOSED,18700.0,+0.02%,18610.0,-0.46%,LOSS,2026-07-22T00:50:50.270448
2026-03-05,SUNPHARMA.NS,1779.84,1806.53,1753.14,64.4,1.72,CLOSED,1779.84,+0.00%,1794.7,+0.83%,WIN,2026-07-22T00:50:50.285316
2026-03-09,SUNPHARMA.NS,1802.68,1829.72,1775.64,67.8,1.95,CLOSED,1805.27,+0.14%,1808.06,+0.30%,WIN,2026-07-22T00:50:50.285349
2026-07-09,SUNPHARMA.NS,1938.7,1967.78,1909.62,72.4,2.53,CLOSED,1942.8,+0.21%,1935.5,-0.17%,LOSS,2026-07-22T00:50:50.286241
2026-07-14,SUNPHARMA.NS,1942.6,1971.74,1913.46,69.6,1.51,CLOSED,1955.0,+0.64%,1951.5,+0.46%,WIN,2026-07-22T00:50:50.286288
2026-04-15,SUZLON.NS,49.13,49.87,48.39,71.3,2.79,CLOSED,50.03,+1.83%,50.03,+1.83%,WIN,2026-07-22T00:50:50.295173
2026-04-22,SUZLON.NS,54.57,55.39,53.75,78.8,1.39,CLOSED,54.51,-0.11%,53.75,-1.50%,LOSS,2026-07-22T00:50:50.295246
2026-04-27,SUZLON.NS,56.93,57.78,56.08,79.4,1.88,CLOSED,57.15,+0.39%,57.78,+1.50%,WIN,2026-07-22T00:50:50.295293
2026-05-27,SUZLON.NS,57.53,58.39,56.67,69.0,2.73,CLOSED,57.53,+0.00%,57.53,+0.00%,LOSS,2026-07-22T00:50:50.295541
2026-02-11,TVSMOTOR.NS,3851.64,3909.41,3793.86,65.7,1.38,CLOSED,3861.5,+0.26%,3867.68,+0.42%,WIN,2026-07-22T00:50:50.304589
2026-06-25,TVSMOTOR.NS,3569.7,3623.25,3516.15,61.5,2.1,CLOSED,3569.7,+0.00%,3569.7,+0.00%,LOSS,2026-07-22T00:50:50.307913
2026-02-24,TORNTPHARM.NS,4389.18,4455.01,4323.34,77.0,2.17,CLOSED,4411.23,+0.50%,4410.14,+0.48%,WIN,2026-07-22T00:50:50.385932
2026-05-11,TORNTPHARM.NS,4508.14,4575.76,4440.52,71.7,1.85,CLOSED,4500.56,-0.17%,4440.52,-1.50%,LOSS,2026-07-22T00:50:50.386455
2026-06-11,TORNTPHARM.NS,4572.2,4640.78,4503.62,62.1,1.59,CLOSED,4619.5,+1.03%,4640.78,+1.50%,WIN,2026-07-22T00:50:50.386707
2026-04-20,TRENT.NS,2824.36,2866.73,2781.99,68.6,1.73,CLOSED,2838.47,+0.50%,2866.73,+1.50%,WIN,2026-07-22T00:50:50.389670
2026-05-22,TRENT.NS,2860.11,2903.01,2817.21,60.9,1.51,CLOSED,2889.73,+1.04%,2903.01,+1.50%,WIN,2026-07-22T00:50:50.389935
2026-06-17,TRENT.NS,3102.8,3149.34,3056.26,71.5,5.1,CLOSED,3125.0,+0.72%,3149.34,+1.50%,WIN,2026-07-22T00:50:50.390139
2026-06-18,TRENT.NS,3179.7,3227.4,3132.0,74.4,2.73,CLOSED,3182.0,+0.07%,3205.8,+0.82%,WIN,2026-07-22T00:50:50.390159
2026-02-04,TIINDIA.NS,2635.17,2674.7,2595.64,65.1,1.92,CLOSED,2647.96,+0.49%,2595.64,-1.50%,LOSS,2026-07-22T00:50:50.392563
2026-02-26,TIINDIA.NS,2720.3,2761.1,2679.5,66.1,1.21,CLOSED,2720.3,+0.00%,2761.1,+1.50%,WIN,2026-07-22T00:50:50.392753
2026-03-02,TIINDIA.NS,2837.6,2880.16,2795.04,71.3,2.65,CLOSED,2803.5,-1.20%,2795.04,-1.50%,LOSS,2026-07-22T00:50:50.392786
2026-04-22,TIINDIA.NS,3024.4,3069.77,2979.03,74.3,1.44,CLOSED,3037.9,+0.45%,3069.77,+1.50%,WIN,2026-07-22T00:50:50.393132
2026-05-27,TIINDIA.NS,3210.5,3258.66,3162.34,69.6,1.96,CLOSED,3210.5,+0.00%,3210.5,+0.00%,LOSS,2026-07-22T00:50:50.393409
2026-02-17,UNIONBANK.NS,183.47,186.23,180.72,69.3,1.84,CLOSED,184.55,+0.59%,186.23,+1.50%,WIN,2026-07-22T00:50:50.408539
2026-02-18,UNIONBANK.NS,187.57,190.39,184.76,72.6,1.7,CLOSED,187.57,-0.00%,184.76,-1.50%,LOSS,2026-07-22T00:50:50.408561
2026-07-20,UNIONBANK.NS,175.93,178.57,173.29,62.4,2.02,CLOSED,175.93,+0.00%,178.57,+1.50%,WIN,2026-07-22T00:50:50.409686
2026-04-21,UNITDSPR.NS,1352.58,1372.87,1332.3,61.0,1.51,CLOSED,1366.08,+1.00%,1372.87,+1.50%,WIN,2026-07-22T00:50:50.413659
2026-06-24,UNITDSPR.NS,1348.71,1368.94,1328.48,64.3,1.77,CLOSED,1356.55,+0.58%,1368.94,+1.50%,WIN,2026-07-22T00:50:50.415373
2026-07-06,UNITDSPR.NS,1416.39,1437.64,1395.15,70.1,1.35,CLOSED,1424.03,+0.54%,1428.4,+0.85%,WIN,2026-07-22T00:50:50.415672
2026-04-16,DREDGECORP.NS,971.95,986.53,957.37,61.0,3.5,CLOSED,978.0,+0.62%,986.53,+1.50%,WIN,2026-07-22T00:50:50.474015
2026-06-02,DREDGECORP.NS,1223.3,1241.65,1204.95,70.7,1.21,CLOSED,1230.0,+0.55%,1241.65,+1.50%,WIN,2026-07-22T00:50:50.474377
2026-02-20,HSCL.NS,489.04,496.37,481.7,67.8,2.22,CLOSED,496.68,+1.56%,496.68,+1.56%,WIN,2026-07-22T00:50:50.483222
2026-06-04,HSCL.NS,642.0,651.63,632.37,68.1,2.03,CLOSED,645.75,+0.58%,651.63,+1.50%,WIN,2026-07-22T00:50:50.483955
2026-06-09,HSCL.NS,679.5,689.69,669.31,70.5,1.32,CLOSED,682.0,+0.37%,689.69,+1.50%,WIN,2026-07-22T00:50:50.483998
2026-07-17,HSCL.NS,741.55,752.67,730.43,68.9,1.53,CLOSED,742.05,+0.07%,752.67,+1.50%,WIN,2026-07-22T00:50:50.484299
