date,symbol,entry_price,target_1_5,sl_1_5,rsi,vol_ratio,status,next_open,next_open_return,exit_price_b,exit_return_b,outcome_b,created_at
2026-07-01,ETERNAL.NS,279.7,283.9,275.5,70.3,2.54,CLOSED,282.0,+0.82%,283.9,+1.50%,WIN,2026-07-22T00:50:49.654682
2026-07-07,ETERNAL.NS,289.4,293.74,285.06,75.2,1.58,CLOSED,288.5,-0.31%,293.74,+1.50%,WIN,2026-07-22T00:50:49.654842
2026-07-15,ETERNAL.NS,294.8,299.22,290.38,70.8,1.43,CLOSED,298.75,+1.34%,290.38,-1.50%,LOSS,2026-07-22T00:50:49.655071
2026-05-07,EXIDEIND.NS,362.71,368.15,357.27,65.4,2.61,CLOSED,364.25,+0.43%,360.52,-0.60%,LOSS,2026-07-22T00:50:49.659656
2026-05-26,EXIDEIND.NS,364.5,369.97,359.04,64.3,2.1,CLOSED,363.26,-0.34%,369.97,+1.50%,WIN,2026-07-22T00:50:49.660126
2026-05-27,EXIDEIND.NS,392.27,398.15,386.39,74.1,6.51,CLOSED,392.27,+0.00%,392.27,+0.00%,LOSS,2026-07-22T00:50:49.660177
2026-06-24,EXIDEIND.NS,397.59,403.56,391.63,61.9,2.48,CLOSED,399.09,+0.38%,403.56,+1.50%,WIN,2026-07-22T00:50:49.660898
2026-07-02,EXIDEIND.NS,417.35,423.61,411.09,68.7,8.82,CLOSED,421.15,+0.91%,416.6,-0.18%,LOSS,2026-07-22T00:50:49.661128
2026-07-08,EXIDEIND.NS,421.35,427.67,415.03,69.2,2.04,CLOSED,426.0,+1.10%,427.67,+1.50%,WIN,2026-07-22T00:50:49.661293
2026-07-17,EXIDEIND.NS,435.2,441.73,428.67,72.6,3.03,CLOSED,435.0,-0.05%,441.73,+1.50%,WIN,2026-07-22T00:50:49.661555
2026-02-06,NYKAA.NS,276.99,281.14,272.84,74.5,11.28,CLOSED,277.0,+0.00%,281.14,+1.50%,WIN,2026-07-22T00:50:49.663802
2026-06-17,NYKAA.NS,280.95,285.16,276.74,63.0,1.26,CLOSED,282.45,+0.53%,285.16,+1.50%,WIN,2026-07-22T00:50:49.664736
2026-07-20,FEDERALBNK.NS,350.75,356.01,345.49,75.5,1.29,CLOSED,351.1,+0.10%,356.01,+1.50%,WIN,2026-07-22T00:50:49.668330
2026-02-18,GODFRYPHLP.NS,2477.7,2514.87,2440.53,65.0,14.94,CLOSED,2527.3,+2.00%,2527.3,+2.00%,WIN,2026-07-22T00:50:49.702284
2026-07-01,GODREJPROP.NS,1959.6,1988.99,1930.21,71.6,1.79,CLOSED,1962.0,+0.12%,1968.7,+0.46%,WIN,2026-07-22T00:50:49.717828
2026-07-10,GODREJPROP.NS,2133.0,2164.99,2101.01,75.3,1.78,CLOSED,2117.8,-0.71%,2164.99,+1.50%,WIN,2026-07-22T00:50:49.718101
2026-05-04,GRASIM.NS,2856.0,2898.84,2813.16,64.5,1.21,CLOSED,2831.0,-0.88%,2871.5,+0.54%,WIN,2026-07-22T00:50:49.721116
2026-05-20,GRASIM.NS,2971.1,3015.67,2926.53,65.7,1.45,CLOSED,3060.7,+3.02%,3060.7,+3.02%,WIN,2026-07-22T00:50:49.721275
2026-05-21,GRASIM.NS,3154.5,3201.82,3107.18,77.5,4.81,CLOSED,3178.0,+0.74%,3155.3,+0.03%,WIN,2026-07-22T00:50:49.721298
2026-02-04,HDFCAMC.NS,2666.67,2706.67,2626.67,64.1,2.48,CLOSED,2666.67,+0.00%,2706.67,+1.50%,WIN,2026-07-22T00:50:49.730178
2026-04-15,HDFCAMC.NS,2606.69,2645.79,2567.59,60.1,1.48,CLOSED,2643.38,+1.41%,2645.79,+1.50%,WIN,2026-07-22T00:50:49.730664
2026-04-17,HDFCAMC.NS,2732.63,2773.62,2691.64,65.3,1.4,CLOSED,2732.04,-0.02%,2708.95,-0.87%,LOSS,2026-07-22T00:50:49.730696
2026-07-01,HDFCAMC.NS,2745.8,2786.99,2704.61,60.8,1.28,CLOSED,2747.0,+0.04%,2759.6,+0.50%,WIN,2026-07-22T00:50:49.731253
2026-07-06,HDFCBANK.NS,829.85,842.3,817.4,74.6,1.91,CLOSED,843.0,+1.58%,843.0,+1.58%,WIN,2026-07-22T00:50:49.737190
2026-05-20,HINDALCO.NS,1079.87,1096.06,1063.67,60.4,2.75,CLOSED,1093.0,+1.22%,1096.06,+1.50%,WIN,2026-07-22T00:50:49.759051
2026-04-16,HAL.NS,4363.4,4428.85,4297.95,70.4,1.5,CLOSED,4380.0,+0.38%,4388.1,+0.57%,WIN,2026-07-22T00:50:49.762067
